Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
37,06-Apr-10,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Group,165.0,4.0,141.0,9.0,Chennai Super Kings,Runs,24.0,Suresh Raina
38,07-Apr-10,"Sawai Mansingh Stadium, Jaipur",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Bat,Group,153.0,6.0,157.0,1.0,Rajasthan Royals,Wickets,9.0,Michael Lumb
39,07-Apr-10,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Bat,Group,181.0,3.0,167.0,8.0,Kolkata Knight Riders,Runs,14.0,Sourav Ganguly
40,08-Apr-10,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,Field,Group,184.0,6.0,186.0,3.0,Deccan Chargers,Wickets,7.0,Tirumalasetti Suman
41,09-Apr-10,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Group,154.0,9.0,158.0,4.0,Kings XI Punjab,Wickets,6.0,Kumar Sangakkara
42,10-Apr-10,"Vidarbha Cricket Association Stadium, Nagpur",Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Bat,Group,138.0,8.0,139.0,4.0,Deccan Chargers,Wickets,6.0,Ryan Harris
43,10-Apr-10,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,160.0,9.0,162.0,3.0,Royal Challengers Bangalore,Wickets,7.0,Brendon McCullum
44,11-Apr-10,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,Bat,Group,111.0,10.0,112.0,3.0,Kings XI Punjab,Wickets,7.0,Piyush Chawla
45,11-Apr-10,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Group,174.0,5.0,137.0,8.0,Mumbai Indians,Runs,37.0,Sachin Tendulkar
46,12-Apr-10,"Vidarbha Cricket Association Stadium, Nagpur",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,151.0,6.0,138.0,10.0,Deccan Chargers,Runs,13.0,Harmeet Singh
47,13-Apr-10,"Brabourne Stadium, Mumbai",Mumbai Indians,Delhi Daredevils,Mumbai Indians,Bat,Group,183.0,4.0,144.0,7.0,Mumbai Indians,Runs,39.0,Kieron Pollard
48,13-Apr-10,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Group,139.0,8.0,143.0,1.0,Chennai Super Kings,Wickets,9.0,Ravichandran Ashwin
49,14-Apr-10,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Group,130.0,6.0,132.0,5.0,Royal Challengers Bangalore,Wickets,5.0,Kevin Pietersen
50,15-Apr-10,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Group,112.0,9.0,113.0,4.0,Delhi Daredevils,Wickets,6.0,Gautam Gambhir
51,16-Apr-10,"HPCA Cricket Stadium, Dharamsala",Kings XI Punjab,Deccan Chargers,Deccan Chargers,Field,Group,174.0,3.0,178.0,5.0,Deccan Chargers,Wickets,5.0,Rohit Sharma
52,17-Apr-10,"M. Chinnaswamy Stadium, Bangalore",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,191.0,4.0,134.0,9.0,Mumbai Indians,Runs,57.0,Ryan McLaren
53,17-Apr-10,"Eden Gardens, Kolkata",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Group,132.0,9.0,133.0,2.0,Kolkata Knight Riders,Wickets,8.0,Jaydev Unadkat
54,18-Apr-10,"HPCA Cricket Stadium, Dharamsala",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Field,Group,192.0,3.0,195.0,4.0,Chennai Super Kings,Wickets,6.0,Mahendra Singh Dhoni
